index,Airport Name,City,Country,three-digit code,four_digit,l1,l2
0,Forestville Airport,Forestville,Canada,,CYFE,48.74610138,-69.09719849
1,Pitt Meadows Airport,Pitt Meadows,Canada,,CYPK,49.21609879,-122.7099991
2,Blida Airport,Blida,Algeria,,DAAB,36.50360107,2.814169884
3,Bou Saada Airport,Bou Saada,Algeria,,DAAD,35.33250046,4.206389904
4,Reggane Airport,Reggan,Algeria,,DAAN,26.71010017,0.2856470048
5,Ain Oussera Airport,Ain Oussera,Algeria,,DAAQ,35.52539825,2.878710032
6,Mecheria Airport,Mecheria,Algeria,,DAAY,33.53590012,-0.2423530072
7,Relizane Airport,Relizane,Algeria,,DAAZ,35.75220108,0.6262720227
8,Bou Sfer Airport,Bou Sfer,Algeria,,DAOE,35.73540115,-0.8053889871
9,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,,DAOS,35.17179871,-0.5932750106
10,Wa Airport,Wa,Ghana,,DGLW,10.08269978,-2.507689953
11,Dirkou Airport,Dirkou,Niger,,DRZD,18.96870041,12.86870003
12,Diffa Airport,Diffa,Niger,,DRZF,13.37290001,12.6267004
13,Sidi Ahmed Air Base,Bizerte,Tunisia,,DTTB,37.24539948,9.791449547
14,Remada Air Base,Remada,Tunisia,,DTTD,32.30619812,10.38210011
15,Borj El Amri Airport,Bordj El Amri,Tunisia,,DTTI,36.72129822,9.943149567
16,Beauvechain Air Base,Beauvechain,Belgium,,EBBE,50.75859833,4.768330097
17,Kleine Brogel Air Base,Kleine Brogel,Belgium,,EBBL,51.168301,5.47
18,Jehonville Air Base,Bertrix,Belgium,,EBBX,49.89170074,5.223889828
19,Chièvres Air Base,Chievres,Belgium,,EBCV,50.57580185,3.83100009
20,Koksijde Air Base,Koksijde,Belgium,,EBFN,51.09030151,2.652780056
21,Florennes Air Base,Florennes,Belgium,,EBFS,50.24330139,4.645830154
22,Zutendaal Air Base,Zutendaal,Belgium,,EBSL,50.94749832,5.590559959
23,Limburg Regional Airport,Sint-truiden,Belgium,,EBST,50.79190063,5.20167017
24,Saint Hubert Air Base,St.-hubert,Belgium,,EBSU,50.03440094,5.440810204
25,Ursel Air Base,Ursel,Belgium,,EBUL,51.14419937,3.47555995
26,Weelde Air Base,Weelde,Belgium,,EBWE,51.39479828,4.960189819
27,Oostmalle Air Base,Zoersel,Belgium,,EBZR,51.264702,4.75333
28,Bautzen Airport,Bautzen,Germany,,EDAB,51.19361115,14.51972198
29,Dessau Airport,Dessau,Germany,,EDAD,51.83169354,12.19096184
30,Eisenhüttenstadt Airport,Eisenhuettenstadt,Germany,,EDAE,52.195856,14.58753
31,Großenhain Airport,Suhl,Germany,,EDAK,51.30805588,13.5555563
32,Merseburg Airport,Muehlhausen,Germany,,EDAM,51.3630556,11.9408333
33,Halle-Oppin Airport,Halle,Germany,,EDAQ,51.552223,12.053889
34,Riesa-Göhlis Airport,Riesa,Germany,,EDAU,51.29360962,13.35611057
35,Rechlin-Lärz Airport,Rechlin-laerz,Germany,,EDAX,53.30638886,12.75222206
36,Strausberg Airport,Strausberg,Germany,,EDAY,52.58055496,13.91666698
37,Schönhagen Airport,Schoenhagen,Germany,,EDAZ,52.20360947,13.15638924
38,Jena-Schöngleina Airport,Jena,Germany,,EDBJ,50.91527939,11.71444416
39,Kyritz Airport,Kyritz,Germany,,EDBK,52.91888809,12.42527771
40,"Magdeburg \City""Airport""""""",Magdeburg,Germany,,EDBM,52.073612,11.626389
41,Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,,EDBR,51.36333466,14.94999981
42,Anklam Airport,Anklam,Germany,,EDCA,53.83277893,13.66861057
43,Cottbus-Drewitz Airport,Cottbus,Germany,,EDCD,51.889442,14.531944
44,Kamenz Airport,Kamenz,Germany,,EDCM,51.29694366,14.12749958
45,Allendorf/Eder Airport,Allendorf,Germany,,EDFQ,51.03499985,8.680832863
46,Worms Airport,Worms,Germany,,EDFV,49.606945,8.368333
47,Mainz-Finthen Airport,Mainz,Germany,,EDFZ,49.967499,8.147222
48,Eisenach-Kindel Airport,Eisenach,Germany,,EDGE,50.991604,10.47973
49,Siegerland Airport,Siegerland,Germany,,EDGS,50.70769882,8.082969666
50,Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,,EDKV,50.40555573,6.528889179
51,Meinerzhagen Airport,Meinerzhagen,Germany,,EDKZ,51.09999847,7.599999905
52,Bielefeld Airport,Bielefeld,Germany,,EDLI,51.96472168,8.544444084
53,Stadtlohn-Vreden Airport,Stadtlohn,Germany,,EDLS,51.99583435,6.840556145
54,Biberach a.d. Riß Airport,Biberach,Germany,,EDMB,48.11111069,9.762778282
55,Eggenfelden Airport,Eggenfelden,Germany,,EDME,48.39611053,12.72361088
56,Mindelheim-Mattsies Airport,Mindelheim,Germany,,EDMN,48.10694504,10.52499962
57,Vilshofen Airport,Vilshofen,Germany,,EDMV,48.63499832,13.19555569
58,Leutkirch-Unterzeil Airport,Leutkirch,Germany,,EDNL,47.85889053,10.01416683
59,Aalen-Heidenheim/Elchingen Airport,Aalen-heidenheim,Germany,,EDPA,48.77777863,10.26472187
60,Burg Feuerstein Airport,Burg Feuerstein,Germany,,EDQE,49.79416656,11.13361073
61,Haßfurt-Schweinfurt Airport,Hassfurt,Germany,,EDQT,50.01805496,10.52944374
62,Freiburg i. Br. Airport,Freiburg,Germany,,EDTF,48.02277756,7.832499981
63,Mengen-Hohentengen Airport,Mengen,Germany,,EDTM,48.05389023,9.372777939
64,Adolf Würth Airport,Schwaebisch Hall,Germany,,EDTY,49.11833191,9.783888817
65,Finsterwalde/Schacksdorf Airport,Soest,Germany,,EDUS,51.607498,13.743611
66,Hildesheim Airport,Hildesheim,Germany,,EDVM,52.18138885,9.946389198
67,Leer-Papenburg Airport,Leer,Germany,,EDWF,53.27194214,7.44166708
68,Rendsburg-Schachtholm Airport,Rendsburg,Germany,,EDXR,54.22000122,9.599444389
69,Ämari Air Base,Armari Air Force Base,Estonia,,EEEI,59.26029968,24.20849991
70,Eura Airport,Eura,Finland,,EFEU,61.11610031,22.20140076
71,Hameenkyro Airport,Hameenkyro,Finland,,EFHM,61.68970108,23.07369995
72,Hanko Airport,Hanko,Finland,,EFHN,59.84889984,23.08359909
73,Kiikala Airport,Kikala,Finland,,EFIK,60.46250153,23.65250015
74,Immola Airport,Immola,Finland,,EFIM,61.24919891,28.90369987
75,Kitee Airport,Kitee,Finland,,EFIT,62.1661,30.073601
76,Kauhajoki Airport,Kauhajoki,Finland,,EFKJ,62.46250153,22.39310074
77,Kemijarvi Airport,Kemijarvi,Finland,,EFKM,66.712898,27.156799
78,Lahti Vesivehmaa Airport,Vesivehmaa,Finland,,EFLA,61.144199,25.693501
79,Menkijarvi Airport,Menkijarvi,Finland,,EFME,62.94670105,23.51889992
80,Nummela Airport,Nummela,Finland,,EFNU,60.33390045,24.29640007
81,Piikajarvi Airport,Piikajarvi,Finland,,EFPI,61.24560165,22.19339943
82,Pudasjärvi Airport,Pudasjarvi,Finland,,EFPU,65.40219879,26.94689941
83,Pyhäsalmi Airport,Pyhasalmi,Finland,,EFPY,63.73189926,25.92630005
84,Raahe Pattijoki Airport,Pattijoki,Finland,,EFRH,64.68810272,24.69580078
85,Rantasalmi Airport,Rantasalmi,Finland,,EFRN,62.06549835,28.35650063
86,Rayskala Airport,Rayskala,Finland,,EFRY,60.74470139,24.10779953
87,Selanpaa Airport,Selanpaa,Finland,,EFSE,61.06240082,26.7989006
88,Teisko Airport,Teisko,Finland,,EFTS,61.7733,24.027
89,Ylivieska Airfield,Ylivieska-raudaskyla,Finland,,EFYL,64.0547222,24.7252778
90,Leicester Airport,Leicester,United Kingdom,,EGBG,52.60779953,-1.031939983
91,Wolverhampton Halfpenny Green Airport,Halfpenny Green,United Kingdom,,EGBO,52.51750183,-2.259439945
92,Cotswold Airport,Pailton,United Kingdom,,EGBP,51.668095,-2.05694
93,Turweston Airport,Turweston,United Kingdom,,EGBT,52.04079819,-1.095559955
94,Wellesbourne Mountford Airport,Wellesbourne,United Kingdom,,EGBW,52.19219971,-1.614439964
95,Manchester Woodford Airport,Woodfort,United Kingdom,,EGCD,53.3381,-2.14889
96,Royal Marines Base Chivenor Airport,Chivenor,United Kingdom,,EGDC,51.08720016,-4.15034008
97,MoD Boscombe Down Airport,Boscombe Down,United Kingdom,,EGDM,51.15219879,-1.747410059
98,RNAS Culdrose,Culdrose,United Kingdom,,EGDR,50.08610153,-5.255710125
99,MOD St. Athan,St. Athan,United Kingdom,,EGDX,51.40480042,-3.435750008
100,Haverfordwest Airport,Haverfordwest,United Kingdom,,EGFE,51.83309937,-4.961110115
101,Chalgrove Airport,Chalsgrove,United Kingdom,,EGLJ,51.67610168,-1.080829978
102,Brough Airport,Brough,United Kingdom,,EGNB,53.7197,-0.566333
103,Retford Gamston Airport,Repton,United Kingdom,,EGNE,53.2806015,-0.9513890147
104,Warton Airport,Warton,United Kingdom,,EGNO,53.74509811,-2.883059978
105,Llanbedr Airport,Llanbedr,United Kingdom,,EGOD,52.81169891,-4.123579979
106,RAF Ternhill,Ternhill,United Kingdom,,EGOE,52.87120056,-2.533560038
107,RAF Shawbury,Shawbury,United Kingdom,,EGOS,52.7981987,-2.668040037
108,RAF Woodvale,Woodvale,United Kingdom,,EGOW,53.58160019,-3.055520058
109,Peterborough Business Airport,Peterborough,United Kingdom,,EGSF,52.4681015,-0.2511110008
110,North Weald Airport,North Weald,United Kingdom,,EGSX,51.72169876,0.1541669965
111,Sheffield City Heliport,Fowlmere,United Kingdom,,EGSY,53.394299,-1.38849
112,Cranfield Airport,Cranfield,United Kingdom,,EGTC,52.07220078,-0.6166669726
113,RAF Benson,Benson,United Kingdom,,EGUB,51.61640167,-1.095829964
114,RAF Lakenheath,Lakenheath,United Kingdom,,EGUL,52.40930176,0.5609999895
115,RAF Wattisham,Wattisham,United Kingdom,,EGUW,52.12730026,0.956264019
116,RAF Wyton,Wyton,United Kingdom,,EGUY,52.35720062,-0.107832998
117,DCAE Cosford Air Base,Cosford,United Kingdom,,EGWC,52.639999,-2.30558
118,RAF Dishforth,Dishforth,United Kingdom,,EGXD,54.1371994,-1.420250058
119,Leeming Airport,Leeming,United Kingdom,,EGXE,54.2924,-1.5354
120,Leeds East Airport,Church Fenton,United Kingdom,,EGXG,53.834301,-1.1955
121,RAF Cottesmore,Cottesmore,United Kingdom,,EGXJ,52.735699,-0.648769
122,RAF Scampton,Scampton,United Kingdom,,EGXP,53.30780029,-0.5508329868
123,RAF Wittering,Wittering,United Kingdom,,EGXT,52.61259842,-0.4764530063
124,RAF Topcliffe,Topcliffe,United Kingdom,,EGXZ,54.20550156,-1.382089973
125,RAF Cranwell,Cranwell,United Kingdom,,EGYD,53.03030014,-0.4832420051
126,RAF Barkston Heath,Barkston Heath,United Kingdom,,EGYE,52.96220016,-0.5616250038
127,Budel Airport,Weert,Netherlands,,EHBD,51.25529861,5.601389885
128,Deelen Air Base,Deelen,Netherlands,,EHDL,52.0606,5.87306
129,Drachten Airport,Drachten,Netherlands,,EHDR,53.11920166,6.129720211
130,Gilze Rijen Air Base,Gilze-rijen,Netherlands,,EHGR,51.56740189,4.931829929
131,Casement Air Base,Casement,Ireland,,EIME,53.30170059,-6.451330185
132,Grønholt Hillerød Airport,Gronholt,Denmark,,EKGH,55.94139862,12.38220024
133,Læsø Airport,Laeso,Denmark,,EKLS,57.27719879,11.00010014
134,Lolland Falster Maribo Airport,Maribo,Denmark,,EKMB,54.699299,11.4401
135,Kruså-Padborg Airport,Krusa-padborg,Denmark,,EKPB,54.87030029,9.279009819
136,Skive Airport,Skive,Denmark,,EKSV,56.55020142,9.172980309
137,Kolding Vamdrup Airport,Kolding,Denmark,,EKVD,55.43629837,9.330920219
138,Vesthimmerlands Flyveplads,Vesthimmerland,Denmark,,EKVH,56.846901,9.45861
139,Bømoen Airport,Voss,Norway,,ENBM,60.63890076,6.50150013
140,Geilo Airport Dagali,Geilo,Norway,,ENDI,60.41730118,8.518349648
141,Kjeller Airport,Kjeller,Norway,,ENKJ,59.96929932,11.03610039
142,Babice Airport,Warsaw,Poland,,EPBC,52.26850128,20.9109993
143,Muchowiec Airport,Katowice,Poland,,EPKM,50.23809814,19.03420067
144,Mielec Airport,Mielec,Poland,,EPML,50.32229996,21.46209908
145,Swidwin Military Air Base,Shapaja,Poland,,EPSN,53.79059982,15.82629967
146,Malmen Air Base,Linkoeping,Sweden,,ESCF,58.40230179,15.52569962
147,Bråvalla Air Base,Norrkoeping,Sweden,,ESCK,58.61090088,16.10359955
148,Uppsala Airport,Uppsala,Sweden,,ESCM,59.89730072,17.58860016
149,Råda Air Base,Rada,Sweden,,ESFR,58.49810028,13.05319977
150,Falköping Airport,Falkoping,Sweden,,ESGK,58.1697998,13.58780003
151,Karlsborg Air Base,Karlsborg,Sweden,,ESIA,58.51380157,14.50710011
152,Såtenäs Air Base,Satenas,Sweden,,ESIB,58.42639923,12.71440029
153,Barkarby Airport,Stockholm,Sweden,,ESKB,59.41447436,17.8821373
154,Arvika Airport,Arvika,Sweden,,ESKV,59.67589951,12.63939953
155,Emmaboda Airfield,Emmaboda,Sweden,,ESMA,56.610802,15.6048
156,Feringe Airport,Ljungby,Sweden,,ESMG,56.95029831,13.92169952
157,Anderstorp Airport,Anderstorp,Sweden,,ESMP,57.2641983,13.59939957
158,Hagshult Airport,Hagshult,Sweden,,ESMV,57.29219818,14.13720036
159,Hallviken Airport,Hallviken,Sweden,,ESNA,63.73830032,15.45829964
160,Hedlanda Airport,Hede,Sweden,,ESNC,62.40890121,13.74720001
161,Jokkmokk Airport,Jokkmokk,Sweden,,ESNJ,66.49620056,20.14719963
162,Optand Airport,Optand,Sweden,,ESNM,63.12860107,14.80280018
163,Piteå Airport,Pitea,Sweden,,ESNP,65.39830017,21.26079941
164,Orsa Airport,Orsa,Sweden,,ESNR,61.18999863,14.71259975
165,Sättna Airport,Sattna,Sweden,,ESNT,62.4814,17.002899
166,Vidsel Air Base,Vidsel,Sweden,,ESPE,65.87529755,20.14990044
167,Arboga Airport,Arboga,Sweden,,ESQO,59.38660049,15.92409992
168,Eskilstuna Airport,Eskilstuna,Sweden,,ESSU,59.35110092,16.70840073
169,Kalixfors Airport,Kalixfors,Sweden,,ESUK,67.76480103,20.25720024
170,Bückeburg Air Base,Brueckeburg,Germany,,ETHB,52.2785,9.08217
171,Rheine Bentlage Air Base,Rheine-brentlange,Germany,,ETHE,52.291199,7.387
172,Fritzlar Airport,Fritzlar,Germany,,ETHF,51.1146,9.286
173,Laupheim Air Base,Laupheim,Germany,,ETHL,48.220299,9.91002
174,Mendig Airport,Mendig,Germany,,ETHM,50.36600113,7.315330029
175,Niederstetten Army Air Base,Niederstetten,Germany,,ETHN,49.391945,9.958889
176,Roth Airport,Roth,Germany,,ETHR,49.21749878,11.1001997
